Sample in Buffer	Sample in Window	/UB/fft/xn_index	/UB/fft/xn_re	/UB/fft/xn_im	/UB/fft/xk_index	/UB/fft/xk_re	/UB/fft/xk_im
273	273	00E4	68BC	12E4	0051	0751	FAB5	
274	274	00E5	610C	181F	0052	FD1C	0220	
275	275	00E6	5CBC	4C79	0053	FEFD	0024	
276	276	00E7	5C38	712F	0054	FFFC	FEE6	
277	277	00E8	5F8A	7797	0055	FF59	008F	
278	278	00E9	6658	609D	0056	FDF1	002A	
279	279	00EA	6FEA	6CF5	0057	012D	FCF8	
280	280	00EB	7B2E	5D0F	0058	FF8E	FEA3	
281	281	00EC	0704	50E4	0059	0149	0100	
282	282	00ED	1220	6812	005A	0059	0057	
283	283	00EE	1B4A	61E2	005B	0132	FF31	
284	284	00EF	2176	7D66	005C	019C	0016	
285	285	00F0	23F6	3928	005D	FE18	0234	
286	286	00F1	22A8	03DC	005E	FA34	FE47	
287	287	00F2	1DAA	1C60	005F	FF88	02DE	
288	288	00F3	1576	11CC	0060	02C7	FF47	
289	289	00F4	0ADE	23A4	0061	011A	007F	
290	290	00F5	7F1E	219E	0062	022F	FDD0	
291	291	00F6	736C	2BF8	0063	008E	FF44	
292	292	00F7	6912	1360	0064	01B4	FEED	
293	293	00F8	613A	18B2	0065	006E	FED9	
294	294	00F9	5CCA	0D09	0066	FCC2	FFA9	
295	295	00FA	5C10	71B7	0067	0028	0013	
296	296	00FB	5F36	77E7	0068	00AA	FEB5	
297	297	00FC	65FA	60C3	0069	01B4	0128	
298	298	00FD	6F70	4CE3	006A	FD8D	0179	
299	299	00FE	7AA2	5CC7	006B	FDCB	FC72	
300	300	00FF	0680	508A	006C	FCBF	FDC7	
301	301	0000	11AA	67C2	006D	FF76	FE9C	
302	302	0001	1AE2	6198	006E	01B6	0074	
303	303	0002	212E	7CE2	006F	FD5B	00C8	
304	304	0003	23E6	3870	0070	FED6	FF9F	
305	305	0004	22D2	0324	0071	FF19	FEDA	
306	306	0005	1E0E	1BD8	0072	0268	FFB7	
307	307	0006	15E8	1196	0073	FE93	FE35	
308	308	0007	0B60	23B4	0074	01C7	FF8F	
309	309	0008	7FAC	21E8	0075	0157	FFD5	
310	310	0009	740A	2C5E	0076	023C	FFE7	
311	311	000A	69B0	13BC	0077	FECC	FF40	
312	312	000B	61B0	1918	0078	0149	FFB7	
313	313	000C	5CF0	4D8D	0079	0D62	0576	
314	314	000D	5C10	7225	007A	0342	FE24	
315	315	000E	5F1C	7833	007B	01F7	02B4	
